Date,PageName,"Post_ID",type,"Number_of_comments","Number_of_shares","Likes.total_likes","Likes.Angry"
"Mar 31, 2020 @ 07:56:51.000","Itamar Ben-Gvir",1221948228007515,post,0,31,227,65
"Mar 31, 2020 @ 07:48:56.000","Ehud Barak",3138319549533633,post,0,122,752,0
"Mar 31, 2020 @ 07:30:20.000","Naftali Bennett",2981149068573408,post,0,1,190,0
"Mar 31, 2020 @ 06:53:07.000","Nitzan Horowitz",861371507712813,"live post",0,4,0,0
"Mar 31, 2020 @ 06:07:05.000","Naftali Bennett",2981047221916926,post,0,40,"3,663",3
"Mar 30, 2020 @ 20:37:52.000","Naftali Bennett",2980240341997614,post,0,40,"3,532",0
"Mar 30, 2020 @ 19:15:17.000","Bezazel Smotrich",1587350381419333,post,0,11,828,0
"Mar 30, 2020 @ 18:26:58.000","Miri Regev",2783291448421018,"live post",0,109,0,0
"Mar 30, 2020 @ 18:21:14.000","Bezazel Smotrich",1587350238086014,post,0,7,371,0
"Mar 30, 2020 @ 18:13:52.000","Bezazel Smotrich",1587344728086565,post,0,35,888,3
"Mar 30, 2020 @ 18:05:30.000","Merav Michaeli",3088331121190573,post,0,67,842,4
"Mar 30, 2020 @ 17:53:14.000","Naftali Bennett",2979972592024389,post,0,275,"5,993",1
"Mar 30, 2020 @ 17:17:37.000","Benjamin Netanyahu",10157217363607076,post,0,726,"11,331",9
"Mar 30, 2020 @ 16:41:56.000","Benjamin Netanyahu",10157217241567076,post,0,196,"3,465",3
"Mar 30, 2020 @ 15:43:38.000","Itamar Ben-Gvir",1221471324721872,post,0,62,861,25
"Mar 30, 2020 @ 14:09:15.000","Nitzan Horowitz",10158368351126340,post,0,69,"1,194",9
"Mar 30, 2020 @ 13:39:04.000","Moshe Bogie Ya'alon",3189519921081164,post,0,361,"3,071",62
"Mar 30, 2020 @ 13:28:26.000","Yair Lapid",3019402954784702,post,0,800,"6,101",107
"Mar 30, 2020 @ 13:23:48.000","Avigdor Liberman",3184675741545352,post,0,141,718,24
"Mar 30, 2020 @ 13:06:35.000","Naftali Bennett",2979455095409472,post,0,162,"1,919",8
"Mar 30, 2020 @ 12:15:27.000","Miri Regev",2869679679795495,post,0,181,"2,638",5
